plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
410,410,,okra,Abelmoschus esculentus,,False,True,False,True,False,True,True,"[""full sun""]",Frequent,Once a year,High
411,411,,okra,Abelmoschus esculentus 'Baby Bubba',,False,True,False,False,False,True,True,"[""Full sun""]",Average,Once a year,Low
412,412,,sunset huskmallow,Abelmoschus manihot,,False,True,False,True,False,False,True,"[""Full sun""]",Average,Herbaceous Perennial,Low
413,413,,musk mallow,Abelmoschus moschatus,,False,False,False,True,False,False,True,"[""full sun""]",Average,Herbaceous Perennial,Low
414,414,,balsam fir,Abies balsamea,Canada Balsam,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
415,415,,balsam fir,Abies balsamea 'Jamy',Canada Balsam,False,False,False,True,False,False,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Low
416,416,,balsam fir,Abies balsamea 'Nana',Canada Balsam,False,False,False,True,False,False,True,"[""part sun/part shade"", ""full sun""]",Average,Every year,Low
417,417,,momi fir,Abies firma,,False,False,False,True,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
418,418,,grand fir,Abies grandis,Lowland Fir,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,High
419,419,,Nikko fir,Abies homolepis,,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
420,420,,Korean fir,Abies koreana 'Silberlocke',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
421,421,,Caucasian fir,Abies nordmanniana,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
422,422,,Caucasian fir,Abies nordmanniana 'Brandt',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
423,423,,Caucasian fir,Abies nordmanniana subsp. equi-trojani,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
424,424,,Spanish fir,Abies pinsapo 'Horstmann',,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
425,425,,flowering-maple,Abutilon hybridum,,False,False,True,True,False,False,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
426,426,,flowering-maple,Abutilon hybridum 'Bella Red',,False,False,True,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
427,427,,flowering-maple,Abutilon 'Moonchimes',,False,False,True,True,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
428,428,,flowering-maple,Abutilon pictum 'Gold Dust',,False,False,True,True,False,False,True,"[""full sun""]",Average,Every year,Low
429,429,,river wattle,Acacia cognata 'Mini Cog',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
430,430,,koa,Acacia koa,,False,False,False,False,False,True,True,"[""full sun""]",Average,Every year,High
431,431,,black cat claw,Acacia redolens,,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
432,432,,acaena,Acaena inermis 'Purpurea',,False,False,False,False,False,True,True,"[""full sun""]",Average,Herbaceous Perennial,Low
433,433,,red hot cat's tail,Acalypha hispida,,False,False,False,True,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,High
434,434,,Jacob's coat,Acalypha wilkesiana,,False,False,True,False,False,False,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
435,435,,prickly thrift,Acantholimon ulicinum,,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
436,436,,bear's breeches,Acanthus hungaricus,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Low
437,437,,bear's breeches,Acanthus mollis,,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Moderate
438,438,,bear's breeches,Acanthus mollis 'Oak Leaf',,False,False,False,False,False,False,True,"[""part sun/part shade"", ""full sun""]",Average,Herbaceous Perennial,Low
439,439,,bear's breeches,Acanthus mollis 'Tasmanian Angel',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Minimum,Herbaceous Perennial,Low
440,440,,mountain thistle,Acanthus montanus,,False,False,False,True,False,False,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Low
441,441,,bear's breeches,Acanthus spinosus,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Low
442,442,,bear's breeches,Acanthus 'Summer Beauty',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Low
443,443,,pineapple guava,Acca sellowiana,,False,True,False,True,False,True,True,"[""full sun"", ""part shade""]",Minimum,Every year,Low
444,444,,trident maple,Acer buergerianum,,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Moderate
445,445,,hedge maple,Acer campestre,,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Low
