plant_disease_id,regular_url_image,thumbnail_image
48,https://perenual.com/storage/species_disease/48_uromyces_phaseoli/regular/Roest_op_stoksperzieboon_28Uromyces_appendiculatus_var._appendiculatus29.jpg,https://perenual.com/storage/species_disease/48_uromyces_phaseoli/thumbnail/Roest_op_stoksperzieboon_28Uromyces_appendiculatus_var._appendiculatus29.jpg
49,https://perenual.com/storage/species_disease/49_beet_curly_top_virus__bctv/regular/Beet_curly_top_virus_geminiviridae_common_bean.jpg,https://perenual.com/storage/species_disease/49_beet_curly_top_virus__bctv/thumbnail/Beet_curly_top_virus_geminiviridae_common_bean.jpg
50,https://perenual.com/storage/species_disease/50_pythium__spp/regular/2560px-Fusarium_oxysporum_a1_28229.jpg,https://perenual.com/storage/species_disease/50_pythium__spp/thumbnail/2560px-Fusarium_oxysporum_a1_28229.jpg
51,https://perenual.com/storage/species_disease/51_fusarium_solani/regular/Rhododendron-Phytophthora_Root_Rot_28229.jpg,https://perenual.com/storage/species_disease/51_fusarium_solani/thumbnail/Rhododendron-Phytophthora_Root_Rot_28229.jpg
52,https://perenual.com/storage/species_disease/1_a/regular/Fairy_ring_-_geograph.org.uk_-_1057031.jpg,https://perenual.com/storage/species_disease/1_a/thumbnail/Fairy_ring_-_geograph.org.uk_-_1057031.jpg
53,https://perenual.com/storage/species_disease/53_erysiphe_polygoni/regular/40162585395_640d299711_b.jpg,https://perenual.com/storage/species_disease/53_erysiphe_polygoni/thumbnail/40162585395_640d299711_b.jpg
54,https://perenual.com/storage/species_disease/54_sphaerotheca_fuliginea/regular/2560px-Sphaerotheca_fusca_on_Cucumber_leaves.jpg,https://perenual.com/storage/species_disease/54_sphaerotheca_fuliginea/thumbnail/2560px-Sphaerotheca_fusca_on_Cucumber_leaves.jpg
55,https://perenual.com/storage/species_disease/55_sclerotinia_sclerotiorum/regular/Sclerotinia_sclerotiorum_at_Phaseolus_vulgaris2C_sclerotiC3ABnrot_stamsperzieboon.jpg,https://perenual.com/storage/species_disease/55_sclerotinia_sclerotiorum/thumbnail/Sclerotinia_sclerotiorum_at_Phaseolus_vulgaris2C_sclerotiC3ABnrot_stamsperzieboon.jpg
56,https://perenual.com/storage/species_disease/56_erwinia_spp/regular/5832793333_206e828baa_b.jpg,https://perenual.com/storage/species_disease/56_erwinia_spp/thumbnail/5832793333_206e828baa_b.jpg
57,,
58,https://perenual.com/storage/species_disease/58_golovinomyces_cichoracearum/regular/Golovinomyces_cichoracearum_a1_28229.jpg,https://perenual.com/storage/species_disease/58_golovinomyces_cichoracearum/thumbnail/Golovinomyces_cichoracearum_a1_28229.jpg
59,https://perenual.com/storage/species_disease/59_laetisaria_fuciformis/regular/31579500936_953c3fc5e2_b.jpg,https://perenual.com/storage/species_disease/59_laetisaria_fuciformis/thumbnail/31579500936_953c3fc5e2_b.jpg
60,,
61,https://perenual.com/storage/species_disease/61_bipolaris_spp/regular/leaf_light_shine_through_leaf_veins_veins_poplar_poplar_leaf_bastard_black_poplar-1244410.jpg,https://perenual.com/storage/species_disease/61_bipolaris_spp/thumbnail/leaf_light_shine_through_leaf_veins_veins_poplar_poplar_leaf_bastard_black_poplar-1244410.jpg
62,,
63,https://perenual.com/storage/species_disease/63_magnaporthe_poae/regular/14747617254_dd85aea258_b.jpg,https://perenual.com/storage/species_disease/63_magnaporthe_poae/thumbnail/14747617254_dd85aea258_b.jpg
64,,
65,https://perenual.com/storage/species_disease/65_phytophthora_megasperma/regular/Rhododendron-Phytophthora_Root_Rot_28329.jpg,https://perenual.com/storage/species_disease/65_phytophthora_megasperma/thumbnail/Rhododendron-Phytophthora_Root_Rot_28329.jpg
66,https://perenual.com/storage/species_disease/66_erysiphe_cruciferarum/regular/2560px-Erysiphe_cruciferarum_on_Alliaria_petiolata_284547438165229.jpg,https://perenual.com/storage/species_disease/66_erysiphe_cruciferarum/thumbnail/2560px-Erysiphe_cruciferarum_on_Alliaria_petiolata_284547438165229.jpg
67,https://perenual.com/storage/species_disease/67_mycosphaerella_brassicicola/regular/Mycosphaerella_brassicicola_02.jpg,https://perenual.com/storage/species_disease/67_mycosphaerella_brassicicola/thumbnail/Mycosphaerella_brassicicola_02.jpg
68,https://perenual.com/storage/species_disease/1_a/regular/Fairy_ring_-_geograph.org.uk_-_1057031.jpg,https://perenual.com/storage/species_disease/1_a/thumbnail/Fairy_ring_-_geograph.org.uk_-_1057031.jpg
69,https://perenual.com/storage/species_disease/69_fusarium__oxysporum/regular/2560px-Elbwiesen_-_Winterkohl_28229.jpg,https://perenual.com/storage/species_disease/69_fusarium__oxysporum/thumbnail/2560px-Elbwiesen_-_Winterkohl_28229.jpg
70,https://perenual.com/storage/species_disease/70_anisogramma_anomala/regular/Anisogramma_anomala.jpg,https://perenual.com/storage/species_disease/70_anisogramma_anomala/thumbnail/Anisogramma_anomala.jpg
71,https://perenual.com/storage/species_disease/71_ciborinia_camelliae/regular/flower-flower-of-camellia-flower-wilt-camelia.jpg,https://perenual.com/storage/species_disease/71_ciborinia_camelliae/thumbnail/flower-flower-of-camellia-flower-wilt-camelia.jpg
72,https://perenual.com/storage/species_disease/72_elsinoe_spp/regular/15803235321_1fd37f67ae_b.jpg,https://perenual.com/storage/species_disease/72_elsinoe_spp/thumbnail/15803235321_1fd37f67ae_b.jpg
75,https://perenual.com/storage/species_disease/75_peronospora_sparsa/regular/2560px-Peronospora_sparsa_G44_28429.jpg,https://perenual.com/storage/species_disease/75_peronospora_sparsa/thumbnail/2560px-Peronospora_sparsa_G44_28429.jpg
76,https://perenual.com/storage/species_disease/76_mycosphaerella_rubi/regular/2560px-Mycosphaerella_rubi_a1_28329.jpg,https://perenual.com/storage/species_disease/76_mycosphaerella_rubi/thumbnail/2560px-Mycosphaerella_rubi_a1_28329.jpg
77,https://perenual.com/storage/species_disease/77_arthuriomyces_peckianus/regular/2560px-Arthuriomyces_peckianus.jpg,https://perenual.com/storage/species_disease/77_arthuriomyces_peckianus/thumbnail/2560px-Arthuriomyces_peckianus.jpg
78,https://perenual.com/storage/species_disease/78_gymnoconia_nitens/regular/39006550150_32cdba6ae0_b.jpg,https://perenual.com/storage/species_disease/78_gymnoconia_nitens/thumbnail/39006550150_32cdba6ae0_b.jpg
79,https://perenual.com/storage/species_disease/79_sphaerotheca_macularis/regular/Mycosphaerella_fragariae.jpg,https://perenual.com/storage/species_disease/79_sphaerotheca_macularis/thumbnail/Mycosphaerella_fragariae.jpg
80,https://perenual.com/storage/species_disease/80_septocyta_ruborum/regular/Septocyta_ruborum_at_blackberry2C_bruine_stengelvlekkenziekte_op_braam.jpg,https://perenual.com/storage/species_disease/80_septocyta_ruborum/thumbnail/Septocyta_ruborum_at_blackberry2C_bruine_stengelvlekkenziekte_op_braam.jpg
82,https://perenual.com/storage/species_disease/82_phragmidium_rubi-idaei/regular/Phragmidium_rubi-idaei_a1_28129.jpg,https://perenual.com/storage/species_disease/82_phragmidium_rubi-idaei/thumbnail/Phragmidium_rubi-idaei_a1_28129.jpg
83,https://perenual.com/storage/species_disease/83_alternaria_spp/regular/8227641316_9695d1d63f_b.jpg,https://perenual.com/storage/species_disease/83_alternaria_spp/thumbnail/8227641316_9695d1d63f_b.jpg
84,,
85,,
86,https://perenual.com/storage/species_disease/86_septoria_dianthi/regular/Septoria_scabiosicola_WF3_28129.jpg,https://perenual.com/storage/species_disease/86_septoria_dianthi/thumbnail/Septoria_scabiosicola_WF3_28129.jpg
87,https://perenual.com/storage/species_disease/87_alternaria_dauci/regular/2560px-Alternaria_solani_a1_28229.jpg,https://perenual.com/storage/species_disease/87_alternaria_dauci/thumbnail/2560px-Alternaria_solani_a1_28229.jpg
