general_plant_id,sunlight,watering,drought_tolerant,absolute_min_temp_c
816,"[""full sun"", ""part shade""]",Frequent,True,-28.9
817,"[""full sun"", ""part shade""]",Average,True,-28.9
818,"[""full sun"", ""part shade""]",Average,True,-34.4
819,"[""full sun"", ""part shade""]",Average,False,-34.4
820,"[""full sun"", ""part shade""]",Average,True,-28.9
821,"[""full sun"", ""part shade""]",Average,False,-34.4
822,"[""full sun"", ""part shade""]",Average,True,-34.4
823,"[""full sun"", ""part shade""]",Average,False,-34.4
824,"[""part shade""]",Average,True,-28.9
825,"[""Full sun"", ""part shade""]",Average,True,-34.4
826,"[""full sun"", ""part shade""]",Average,True,-28.9
827,"[""full sun"", ""part shade""]",Average,False,-28.9
828,"[""full sun"", ""part shade""]",Average,False,-28.9
829,"[""Partial Shade""]",Average,True,-40.0
830,"[""Full sun"", ""part shade""]",Average,False,-28.9
831,"[""full sun"", ""part sun/part shade""]",Average,True,-34.4
832,"[""full sun"", ""part shade""]",Average,True,-34.4
833,"[""Full sun"", ""part shade""]",Minimum,True,-45.6
834,"[""full sun"", ""part shade""]",Average,True,-45.6
835,"[""full sun"", ""part shade""]",Frequent,False,-28.9
836,"[""Full sun"", ""part shade""]",Frequent,True,-34.4
837,"[""Full sun""]",Average,True,-6.7
838,"[""Full sun""]",Average,True,-6.7
839,"[""Full sun"", ""part shade""]",Average,True,-1.1
840,"[""full sun""]",Average,True,-6.7
841,"[""full sun""]",Average,True,-17.8
843,"[""full sun"", ""part shade""]",Average,False,-1.1
844,"[""Full sun""]",Average,False,-12.2
845,"[""Full sun"", ""part shade""]",Average,True,-6.7
846,"[""Full sun""]",Minimum,False,-40.0
847,"[""full sun"", ""part shade""]",Minimum,False,-40.0
848,"[""Full sun"", ""part shade""]",Minimum,True,-28.9
849,"[""full sun"", ""part shade""]",Minimum,True,-40.0
850,"[""full sun""]",Frequent,True,-40.0
851,"[""Full sun""]",Minimum,True,-40.0
852,"[""Full sun""]",Minimum,True,-40.0
853,"[""Full sun""]",Minimum,True,-40.0
854,"[""Full sun""]",Average,False,-34.4
855,"[""part sun/part shade""]",Average,False,4.4
856,"[""full sun"", ""part shade""]",Frequent,False,-1.1
857,"[""full sun""]",Average,True,-12.2
858,"[""Full sun""]",Average,False,-28.9
859,"[""Full sun""]",Average,True,-17.8
860,"[""Full sun""]",Average,True,-12.2
861,"[""part shade"", ""full shade""]",Average,True,4.4
862,"[""full sun"", ""filtered shade""]",Average,False,-40.0
863,"[""full sun"", ""part shade""]",Average,False,-40.0
864,"[""full sun"", ""part shade""]",Average,False,-40.0
865,"[""Partial Shade""]",Minimum,False,-34.4
866,"[""Full sun"", ""part shade""]",Frequent,True,-23.3
867,"[""Full sun"", ""part shade""]",Average,False,-40.0
868,"[""Full sun"", ""part shade""]",Average,False,-40.0
869,"[""Full sun"", ""part shade""]",Average,False,-40.0
870,"[""Full sun"", ""part shade""]",Average,False,-40.0
871,"[""Sun"", "" Partial Shade""]",Minimum,False,-40.0
872,"[""Sun"", "" Partial Shade""]",Minimum,False,-40.0
873,"[""Sun"", "" Partial Shade""]",Minimum,False,-40.0
874,"[""Full sun"", ""part shade""]",Average,False,-34.4
875,"[""Full sun"", ""part shade""]",Average,False,-40.0
876,"[""Full sun"", ""part shade""]",Average,False,-40.0
877,"[""Full sun"", ""part shade""]",Average,False,-40.0
878,"[""Full sun"", ""part shade""]",Average,False,-40.0
879,"[""Full sun"", ""part shade""]",Average,True,-34.4
880,"[""Full sun"", ""part shade""]",Average,False,-40.0
881,"[""Full sun"", ""part shade""]",Average,False,-40.0
882,"[""Full sun"", ""part shade""]",Average,True,-40.0
883,"[""Full sun"", ""part shade""]",Average,False,-28.9
884,"[""full sun"", ""part shade""]",Average,False,-40.0
885,"[""Full sun"", ""part shade""]",Average,False,-40.0
886,"[""Full sun"", ""part shade""]",Average,False,-40.0
887,"[""Full sun"", ""part shade""]",Average,False,
888,"[""Full sun"", ""part shade""]",Average,False,-40.0
889,"[""Full sun"", ""part shade""]",Average,False,-40.0
890,"[""full sun"", ""part shade""]",Average,False,-40.0
891,"[""Full sun"", ""part shade""]",Average,False,-40.0
892,"[""Full sun"", ""part shade""]",Average,False,-34.4
893,"[""Full sun"", ""part shade""]",Average,False,-28.9
894,"[""Full sun"", ""part shade""]",Average,False,-40.0
895,"[""Full sun"", ""part shade""]",Average,False,-40.0
896,"[""full sun""]",Average,False,-40.0
897,"[""Sun""]",Average,False,-40.0
898,"[""Sun""]",Average,False,-40.0
899,"[""part sun/part shade"", ""full sun""]",Average,False,-40.0
900,"[""Sun""]",Average,False,-40.0
901,"[""Sun""]",Average,False,-40.0
902,"[""Sun""]",Average,False,-40.0
903,"[""full sun"", ""part shade""]",Average,False,-40.0
904,"[""Sun""]",Average,False,-40.0
905,"[""Full sun"", ""part shade""]",Average,False,-40.0
906,"[""Sun""]",Minimum,True,-34.4
907,"[""Sun""]",Minimum,True,-34.4
908,"[""full sun"", ""part shade""]",Minimum,True,-34.4
909,"[""Full sun""]",Average,True,-45.6
910,"[""Part shade"", ""full shade""]",Frequent,True,-23.3
911,"[""Full sun"", ""part shade""]",Average,True,-17.8
912,"[""Part shade""]",Average,True,-34.4
913,"[""Part shade""]",Average,False,-34.4
914,"[""Partial sun Shade""]",Average,True,-40.0
915,"[""full sun"", ""part shade""]",Average,True,-34.4
916,"[""Full sun""]",Average,True,-1.1
917,"[""Part shade""]",Average,True,-6.7
918,"[""Full sun""]",Average,False,-17.8
920,"[""Full sun Partial sun""]",Minimum,True,-45.6
921,"[""part sun/part shade""]",Average,False,-45.6
922,"[""Full sun Partial sun""]",Minimum,True,-45.6
923,"[""Full sun Partial sun""]",Minimum,False,-45.6
924,"[""Full sun""]",Average,False,-6.7
925,"[""part shade"", ""part sun/part shade""]",Average,False,-12.2
926,"[""Part shade"", ""full shade""]",Average,True,-12.2
927,"[""Full sun""]",Average,False,-6.7
928,"[""Full sun""]",Minimum,False,-45.6
929,"[""Full sun""]",Average,True,-1.1
930,"[""Part shade"", ""full shade""]",Frequent,False,-23.3
931,"[""part shade"", ""part sun/part shade""]",Frequent,False,-28.9
932,"[""Part shade"", ""full shade""]",Frequent,False,-28.9
933,"[""part shade"", ""part sun/part shade""]",Average,True,-28.9
934,"[""Part shade"", ""full shade""]",Frequent,False,-23.3
935,"[""part sun/part shade""]",Frequent,False,-28.9
936,"[""Part shade"", ""full shade""]",Frequent,False,-28.9
937,"[""Deciduous Shade (Spring Sun)""]",Frequent,True,-34.4
938,"[""Full sun"", ""part shade""]",Average,True,-6.7
939,"[""full sun"", ""part shade""]",Average,False,-23.3
940,"[""Full sun"", ""part shade""]",Average,True,-1.1
941,"[""Full sun"", ""part shade""]",Average,False,-6.7
942,"[""Full sun"", ""part shade""]",Average,True,-34.4
943,"[""full sun"", ""part shade""]",Average,False,-17.8
