plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
181,181,,Marina Strawberry Tree,Arbutus 'Marina',,False,True,False,False,False,True,False,"['full sun', 'part shade']",Frequent,Every year,Low
182,182,,Pacific Madrone*,Arbutus menziesii,Madrona; Bearberry; Strawberry Tree,False,True,False,True,False,True,True,['sun'],Minimum,Every year,Low
183,183,,Strawberry Tree,Arbutus unedo,Apple of Cain; Cane Apple,False,True,False,True,False,True,True,"['full sun', 'part sun/part shade', 'sheltered']",Average,Every year,Moderate
184,184,,Common Paw Paw,Asimina triloba,Pawpaw Apple,False,True,False,True,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
185,185,,Crimson Frost Birch,Betula 'Crimson Frost',,False,False,False,False,False,True,True,"['full sun', 'part shade']",Frequent,Every year,Low
186,186,,River Birch,Betula nigra,Red Birch,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,High
187,187,,River Birch (clump),Betula nigra '(clump)',Red Birch,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,High
188,188,,Summer Cascade Weeping River Birch,Betula nigra 'Summer Cascade',Red Birch,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,High
189,189,,Paper Birch,Betula papyrifera,White Birch,False,False,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,High
190,190,,Clump Paper Birch,Betula papyrifera '(clump)',White Birch,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,High
191,191,,Whitespire Birch,Betula populifolia 'Whitespire',Betula platyphylla,False,False,False,False,False,True,True,"['part sun/part shade', 'full sun']",Average,Every year,Low
192,192,,Whitebark Himalayan Birch,Betula utilis 'var. jacquemontii',White Bark Birch,False,True,False,False,False,True,True,['full sun'],Average,Every year,Low
193,193,,California Incense Cedar,Calocedrus decurrens,Incensecedar,False,False,False,False,False,False,True,"['full sun', 'part shade']",Minimum,Every year,High
194,194,,European Hornbeam,Carpinus betulus,Common Hornbeam,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
195,195,,Pyramidal European Hornbeam,Carpinus betulus 'Fastigiata',Common Hornbeam,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
196,196,,Frans Fontaine Hornbeam,Carpinus betulus 'Frans Fontaine',Common Hornbeam,False,False,False,False,False,True,True,['full sun'],Average,Every year,Low
197,197,,Weeping European Hornbeam,Carpinus betulus 'Pendula',Common Hornbeam,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Low
198,198,,Japanese Hornbeam,Carpinus japonica,,False,False,False,False,False,True,True,"['part shade', 'full shade']",Average,Every year,Low
199,199,,Golden Catalpa,Catalpa bignonioides 'Aurea',Southern Catalpa,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
200,200,,Blue Atlas Cedar,Cedrus atlantica 'Glauca',,False,False,False,True,False,False,True,"['full sun', 'part shade']",Average,Every year,Low
201,201,,Deodar Cedar,Cedrus deodara,Himalayan Cedar,False,False,False,True,False,False,True,['full sun'],Average,Every year,High
202,202,,Golden Deodar Cedar,Cedrus deodara 'Aurea',Himalayan Cedar,False,False,False,False,False,False,True,['full sun'],Average,Every year,High
203,203,,Bush's Electra Deodar Cedar,Cedrus deodara 'Bush's Electra',Himalayan Cedar,False,False,False,False,False,False,True,"['full sun', 'part sun/part shade']",Average,Every year,High
204,204,,Electra Blue Deodar Cedar,Cedrus deodara 'Electra Blue',Himalayan Cedar,False,False,False,False,False,False,True,['full sun'],Average,Every year,High
205,205,,Karl Fuchs Deodar Cedar,Cedrus deodara 'Karl Fuchs',Himalayan Cedar,False,False,False,False,False,False,True,"['full sun', 'part sun/part shade']",Average,Every year,High
206,206,,Kashmir Deodar Cedar,Cedrus deodara 'Kashmir',Himalayan Cedar,False,False,False,True,False,False,True,['Full sun'],Average,Every year,High
207,207,,Cedar of Lebanon,Cedrus libani,,False,False,False,True,False,False,True,['Full sun'],Average,Every year,Low
208,208,,Green Prince Cedar of Lebanon,Cedrus libani 'Green Prince',,False,False,False,False,False,False,True,['full sun'],Frequent,Every year,Low
209,209,,Weeping Cedar of Lebanon,Cedrus libani 'Pendula',,False,False,False,False,False,True,True,['full sun'],Average,Every year,Low
210,210,,Katsura Tree,Cercidiphyllum japonicum,Japanese katsura tree,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
211,211,,Weeping Katsura Tree,Cercidiphyllum japonicum 'Pendulum',Japanese katsura tree,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
212,212,,Red Fox Katsura Tree,Cercidiphyllum japonicum 'Rotfuchs',Japanese katsura tree,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
213,213,,Eastern Redbud,Cercis canadensis,Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
214,214,,Eastern Redbud (tree form),Cercis canadensis '(tree form)',Redbud,False,True,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
215,215,,White Redbud,Cercis canadensis 'Alba',Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
216,216,,Appalachian Red Redbud,Cercis canadensis 'Appalachian Red',Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
217,217,,Forest Pansy Redbud,Cercis canadensis 'Forest Pansy',Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
218,218,,Hearts of Gold Redbud,Cercis canadensis 'Hearts of Gold',Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
219,219,,Little Woody Redbud,Cercis canadensis 'Little Woody',Redbud,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
220,220,,Lawson Falsecypress,Chamaecyparis lawsoniana,Oregon Cedar,False,False,False,False,False,False,True,"['full sun', 'part shade']",Average,Every year,Moderate
221,221,,Blue Nootka Cypress,Chamaecyparis nootkatensis 'Glauca',Alaska Cedar,False,False,False,False,False,False,True,['full sun'],Average,Every year,Low
222,222,,Green Arrow Nootka Cypress,Chamaecyparis nootkatensis 'Green Arrow',Alaska Cedar,False,False,False,False,False,False,True,"['full sun', 'part sun/part shade']",Average,Every year,Low
223,223,,Weeping Nootka Cypress,Chamaecyparis nootkatensis 'Pendula',Alaska Cedar,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Low
224,224,,Golden Hinoki Falsecypress,Chamaecyparis obtusa 'Aurea',,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
225,225,,Compact Hinoki Falsecypress,Chamaecyparis obtusa 'Compacta',,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
226,226,,Cripps Gold Falsecypress,Chamaecyparis obtusa 'Crippsii',,False,False,False,False,False,False,True,"['full sun', 'part shade']",Average,Every year,Low
227,227,,Well's Special Hinoki Falsecypress,Chamaecyparis obtusa 'Well's Special',,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
